Brand Name,Battery Capacity,Range,Num of Seats,Charging T,Price,TopSpeed,Transmission
Audi RS e-tron GT,93,480,5,9,204,250,Automatic
Audi e-tron GT,93,500,5,9,179,245,Automatic
Audi e-tron,95,484,5,9,123,200,Automatic
Tata Nexon EV,30,312,5,9,17,180,Automatic
Tata Tigor EV,26,306,5,9,14,120,Automatic
Hyudai Kona Electric,39,452,5,7,24,155,Automatic
Jaguar I-Pace,90,470,5,13,112,200,Automatic
Mahindra eVerito,21,140,5,12,10,86,Automatic
MG ZS EV,44,340,5,8,25,120,Automatic
Mercedes Benz EQC,80,414,5,21,100,180,Automatic
Mahindra e2op4/p6,10,100,4,8,9,80,Automatic
Tata Nexon EV Max,40,437,5,9,17,245,Automatic
Hyundai Kona Electric,64,484,5,12,23,200,Automatic
BYD E6,71,415,5,29,30,120,Automatic
Mercedes-Benz EQC,80,471,5,40,99,180,Automatic
BMW iX,71,425,5,10,115,250,Automatic
Porsche Taycan,79,431,5,22,150,245,Automatic
Audi E-Tron,95,484,5,46,101,200,Automatic
